Image_Name: ae8d1f6b113cf85b6f651396e896c63e
Class: Eye
Inner Main Points: [(126, 232)]
Mask Points:
[[     124.23      184.44]
 [     124.23      188.69]
 [     121.39      191.53]
 [     115.71      191.53]
 [     114.29      192.95]
 [     110.04      192.95]
 [     105.78      197.21]
 [     105.78      198.63]
 [     104.36      200.04]
 [     104.36      201.46]
 [     101.53       204.3]
 [     101.53      205.72]
 [     100.11      207.14]
 [     100.11      208.56]
 [     97.269      211.39]
 [      95.85      209.98]
 [      95.85      208.56]
 [     94.431      207.14]
 [     94.431      201.46]
 [     93.013      200.04]
 [     93.013      198.63]
 [     87.338      198.63]
 [     87.338      228.42]
 [     91.594      228.42]
 [     97.269      234.09]
 [     97.269      235.51]
 [     98.688      236.93]
 [     98.688      244.03]
 [     100.11      245.44]
 [     100.11      248.28]
 [     101.53       249.7]
 [     101.53      252.54]
 [     102.94      253.96]
 [     102.94      255.38]
 [     105.78      258.21]
 [     105.78      263.89]
 [     104.36      265.31]
 [     104.36      266.73]
 [     102.94      268.14]
 [     104.36      269.56]
 [     110.04      269.56]
 [     110.04      263.89]
 [     108.62      262.47]
 [     108.62      258.21]
 [     111.46      255.38]
 [     114.29      255.38]
 [     115.71      253.96]
 [     118.55      253.96]
 [     119.97      252.54]
 [     121.39      252.54]
 [     122.81      253.96]
 [     125.64      253.96]
 [     128.48      256.79]
 [     128.48      258.21]
 [      129.9      259.63]
 [      129.9      261.05]
 [     132.74      263.89]
 [     132.74      265.31]
 [     134.16      266.73]
 [     134.16      268.14]
 [     135.58      269.56]
 [     136.99      269.56]
 [     138.41      270.98]
 [     139.83      270.98]
 [     141.25       272.4]
 [     156.86       272.4]
 [     158.28      270.98]
 [     159.69      270.98]
 [     161.11      269.56]
 [     162.53      269.56]
 [     163.95      268.14]
 [     163.95      266.73]
 [     165.37      265.31]
 [     165.37      263.89]
 [     166.79      262.47]
 [     166.79      261.05]
 [     168.21      259.63]
 [     168.21      244.03]
 [     166.79      242.61]
 [     166.79      238.35]
 [     165.37      236.93]
 [     165.37      232.68]
 [     163.95      231.26]
 [     163.95      225.58]
 [     162.53      224.16]
 [     162.53      209.98]
 [     161.11      208.56]
 [     161.11      207.14]
 [     159.69      205.72]
 [     159.69       204.3]
 [     158.28      202.88]
 [     158.28      200.04]
 [     156.86      198.63]
 [     156.86      197.21]
 [     151.18      191.53]
 [     149.76      191.53]
 [     146.93      188.69]
 [     146.93      184.44]]
