Image_Name: ae8d1f6b113cf85b6f651396e896c63e
Class: Hair
Inner Main Points: [(239.9541927620527, 114.02551084963977), (162.1065768219859, 182.85615204320948), (145.9219885633406, 188.55252216411478), (203.64668182061374, 167.82301688985888), (231.90665670057845, 143.80148657483667)]
Mask Points:
[[     24.913      8.5125]
 [     24.913      219.91]
 [     29.169      219.91]
 [     33.425      224.16]
 [     33.425      225.58]
 [     36.263      228.42]
 [     37.681      228.42]
 [       39.1      229.84]
 [     41.938      229.84]
 [     43.356      231.26]
 [     44.775      231.26]
 [     46.194      232.68]
 [     47.613      232.68]
 [     49.031      234.09]
 [     51.869      234.09]
 [     54.706      236.93]
 [     54.706      238.35]
 [     56.125      239.77]
 [     56.125      244.03]
 [     57.544      245.44]
 [     57.544      252.54]
 [     58.963      253.96]
 [     58.963      262.47]
 [     60.381      263.89]
 [     60.381       272.4]
 [       61.8      273.82]
 [       61.8      292.26]
 [     63.219      293.68]
 [     63.219       295.1]
 [     64.638      296.52]
 [     67.475      296.52]
 [     68.894      297.94]
 [     70.312      296.52]
 [     71.731      296.52]
 [      73.15       295.1]
 [     74.569       295.1]
 [     75.988      293.68]
 [     77.406      293.68]
 [     78.825      292.26]
 [     87.338      292.26]
 [     90.175       295.1]
 [     91.594       295.1]
 [     100.11      303.61]
 [     100.11      305.03]
 [     104.36      309.29]
 [     108.62      309.29]
 [     110.04      310.71]
 [     111.46      310.71]
 [     112.88      312.12]
 [     114.29      312.12]
 [     115.71      313.54]
 [     119.97      313.54]
 [     122.81      316.38]
 [     124.23      316.38]
 [     125.64       317.8]
 [     127.06       317.8]
 [     128.48      319.22]
 [      129.9      319.22]
 [     131.32      320.64]
 [     134.16      320.64]
 [     135.58      322.06]
 [     138.41      322.06]
 [     139.83      323.48]
 [     146.93      323.48]
 [     148.34      324.89]
 [     156.86      324.89]
 [     158.28      326.31]
 [     162.53      326.31]
 [     163.95      327.73]
 [     182.39      327.73]
 [     183.81      329.15]
 [     188.07      329.15]
 [     189.49      330.57]
 [     202.26      330.57]
 [     203.68      331.99]
 [      220.7      331.99]
 [     222.12      333.41]
 [     223.54      333.41]
 [     224.96      331.99]
 [     237.73      331.99]
 [     239.14      330.57]
 [     240.56      330.57]
 [     241.98      331.99]
 [     256.17      331.99]
 [     257.59      330.57]
 [     264.68      330.57]
 [      266.1      329.15]
 [     268.94      329.15]
 [     270.36      330.57]
 [     273.19      330.57]
 [     280.29      337.66]
 [     281.71      337.66]
 [     284.54       340.5]
 [     287.38       340.5]
 [      288.8      341.92]
 [     291.64      341.92]
 [     294.48      339.08]
 [     295.89      339.08]
 [     297.31      337.66]
 [     297.31      334.83]
 [     298.73      333.41]
 [     298.73      330.57]
 [     300.15      329.15]
 [     300.15      320.64]
 [     301.57      319.22]
 [     301.57      312.12]
 [     300.15      310.71]
 [     300.15      300.78]
 [     301.57      299.36]
 [     301.57      292.26]
 [     304.41      289.43]
 [     304.41      288.01]
 [     307.24      285.17]
 [      311.5      285.17]
 [     312.92      283.75]
 [     315.76      283.75]
 [     317.18      285.17]
 [     321.43      285.17]
 [     322.85      286.59]
 [     324.27      286.59]
 [     327.11      289.43]
 [     328.53      289.43]
 [     329.94      290.84]
 [     329.94      292.26]
 [     337.04      292.26]
 [     337.04      290.84]
 [     341.29      286.59]
 [     341.29      285.17]
 [     342.71      283.75]
 [     342.71      280.91]
 [     344.13      279.49]
 [     344.13      276.66]
 [     345.55      275.24]
 [     345.55       272.4]
 [     346.97      270.98]
 [     346.97      269.56]
 [     348.39      268.14]
 [     348.39      266.73]
 [     349.81      265.31]
 [     349.81      263.89]
 [     351.23      262.47]
 [     351.23      259.63]
 [     352.64      258.21]
 [     352.64      256.79]
 [     354.06      255.38]
 [     358.32      255.38]
 [     358.32      8.5125]]
