Image_Name: ae8d1f6b113cf85b6f651396e896c63e
Class: Leg
Inner Main Points: [(205, 717)]
Mask Points:
[[     121.39      632.76]
 [     121.39      695.19]
 [     125.64      695.19]
 [     128.48      698.03]
 [     128.48      699.44]
 [      129.9      700.86]
 [      129.9      719.31]
 [     131.32      720.73]
 [     131.32      727.82]
 [      129.9      729.24]
 [      129.9      737.75]
 [     128.48      739.17]
 [     128.48      742.01]
 [     125.64      744.84]
 [     121.39      744.84]
 [     121.39      803.01]
 [     131.32      803.01]
 [     132.74      801.59]
 [     139.83      801.59]
 [     141.25      803.01]
 [     155.44      803.01]
 [     155.44      801.59]
 [     159.69      797.34]
 [     161.11      797.34]
 [     162.53      798.76]
 [     172.46      798.76]
 [     173.88      800.18]
 [     178.14      800.18]
 [     179.56      801.59]
 [     180.98      801.59]
 [     182.39      803.01]
 [     185.23      803.01]
 [     186.65      801.59]
 [     192.33      801.59]
 [     193.74      800.18]
 [     202.26      800.18]
 [     203.68      798.76]
 [     206.51      798.76]
 [     207.93      800.18]
 [     207.93      801.59]
 [     209.35      803.01]
 [     209.35      805.85]
 [     210.77      807.27]
 [     203.68      814.36]
 [     202.26      814.36]
 [     202.26      824.29]
 [      220.7      824.29]
 [      220.7      815.78]
 [     222.12      814.36]
 [     222.12      811.53]
 [      220.7      810.11]
 [      220.7      807.27]
 [     223.54      804.43]
 [     224.96      804.43]
 [     226.38      803.01]
 [     227.79      803.01]
 [     229.21      801.59]
 [     230.63      801.59]
 [     232.05      800.18]
 [     233.47      800.18]
 [     234.89      798.76]
 [     236.31      798.76]
 [     237.73      797.34]
 [     241.98      797.34]
 [      243.4      795.92]
 [     246.24      795.92]
 [     247.66      797.34]
 [     251.91      797.34]
 [     253.33      798.76]
 [     256.17      798.76]
 [     259.01      801.59]
 [     259.01      803.01]
 [     254.75      807.27]
 [     251.91      807.27]
 [     250.49      808.69]
 [     247.66      808.69]
 [     246.24      810.11]
 [     241.98      810.11]
 [     240.56      811.53]
 [     239.14      811.53]
 [     237.73      812.94]
 [     237.73      814.36]
 [     239.14      814.36]
 [     241.98       817.2]
 [     244.82       817.2]
 [     246.24      818.62]
 [     257.59      818.62]
 [     259.01       817.2]
 [     261.84       817.2]
 [     264.68      814.36]
 [      266.1      814.36]
 [     267.52      812.94]
 [      266.1      811.53]
 [      266.1      805.85]
 [     267.52      804.43]
 [     270.36      804.43]
 [     271.78      803.01]
 [     274.61      803.01]
 [     277.45      800.18]
 [     277.45      798.76]
 [     278.87      797.34]
 [     280.29      797.34]
 [     281.71      795.92]
 [     283.13      795.92]
 [     284.54       794.5]
 [     290.22       794.5]
 [     290.22      783.15]
 [     285.96      783.15]
 [     284.54      781.73]
 [     284.54      780.31]
 [     283.13      778.89]
 [     283.13      774.64]
 [     281.71      773.22]
 [     281.71      764.71]
 [     280.29      763.29]
 [     280.29      742.01]
 [     281.71      740.59]
 [     281.71      699.44]
 [     283.13      698.03]
 [     283.13      692.35]
 [     284.54      690.93]
 [     284.54      686.68]
 [     283.13      685.26]
 [     283.13      682.42]
 [     281.71         681]
 [     281.71      679.58]
 [     280.29      678.16]
 [     280.29      676.74]
 [     281.71      675.33]
 [     281.71      673.91]
 [     283.13      672.49]
 [     283.13      671.07]
 [     285.96      668.23]
 [     290.22      668.23]
 [     290.22      663.98]
 [     285.96      663.98]
 [     283.13      661.14]
 [     283.13      652.62]
 [     284.54      651.21]
 [     290.22      651.21]
 [     290.22      632.76]]
