Image_Name: c28e2477539ff50c54cd18f35b135940
Class: Stock
Inner Main Points: [(202.87125767033203, 794.994985932184), (198.3295141457178, 793.45684765996), (204.90824466027254, 797.7625962396345), (203.59430173732318, 795.8547240064095), (209.75949335527358, 794.0244140666495)]
Mask Points:
[[     174.28      777.37]
 [     174.28      800.71]
 [     179.77      800.71]
 [     181.15      802.09]
 [     183.89      802.09]
 [     188.01      806.21]
 [     189.39      806.21]
 [     193.51      810.33]
 [     194.88      810.33]
 [     196.25       811.7]
 [     197.63       811.7]
 [        199      813.08]
 [     218.23      813.08]
 [      219.6       811.7]
 [     222.35       811.7]
 [      225.1      808.95]
 [      225.1      807.58]
 [     226.47      806.21]
 [     226.47      777.37]]
