Image_Name: f7a98f6b723853fe985b51aa847ec64c
Class: Shoe
Inner Main Points: [(142.28367066188068, 840.92959864919), (137.2883025153209, 840.0688900748388), (115.22001074366094, 853.6949477492335), (116.84777430625579, 856.1183335797466), (138.74932591903394, 862.4995365326312)]
Mask Points:
[[     122.81      814.36]
 [     122.81      818.62]
 [     121.39      820.04]
 [     121.39      821.46]
 [     115.71      827.13]
 [     115.71      828.55]
 [     114.29      829.97]
 [     112.88      829.97]
 [     110.04      832.81]
 [     108.62      832.81]
 [     104.36      837.06]
 [     102.94      837.06]
 [      95.85      844.16]
 [      95.85      845.58]
 [     91.594      849.83]
 [     87.338      849.83]
 [     87.338      881.04]
 [     93.013      881.04]
 [     94.431      882.46]
 [     94.431      886.72]
 [     145.51      886.72]
 [     145.51      882.46]
 [     146.93      881.04]
 [     149.76      881.04]
 [     151.18      879.63]
 [     155.44      879.63]
 [     156.86      878.21]
 [     161.11      878.21]
 [     162.53      876.79]
 [     171.04      876.79]
 [     172.46      875.37]
 [     180.98      875.37]
 [     182.39      873.95]
 [     183.81      873.95]
 [     188.07      869.69]
 [     188.07      865.44]
 [     189.49      864.02]
 [     189.49      856.93]
 [     190.91      855.51]
 [     190.91      849.83]
 [     192.33      848.41]
 [     192.33      827.13]
 [     190.91      825.71]
 [     190.91      824.29]
 [     189.49      822.88]
 [     189.49      821.46]
 [     188.07      822.88]
 [     188.07      825.71]
 [     182.39      831.39]
 [     182.39      832.81]
 [     179.56      835.64]
 [     178.14      835.64]
 [     176.72      837.06]
 [      175.3      837.06]
 [     173.88      838.48]
 [     169.62      838.48]
 [     168.21       839.9]
 [     166.79       839.9]
 [     165.37      838.48]
 [     162.53      838.48]
 [     159.69      835.64]
 [     159.69      831.39]
 [     158.28      829.97]
 [     158.28      828.55]
 [     156.86      827.13]
 [     156.86      825.71]
 [     155.44      824.29]
 [     155.44      822.88]
 [      152.6      820.04]
 [      152.6      814.36]]
