Image_Name: fac4fbcdfb9e06cc65b64a9f87088282
Class: Pants
Inner Main Points: [(186, 643)]
Mask Points:
[[     96.325      573.47]
 [     96.325      713.31]
 [     118.92      713.31]
 [     118.92      709.08]
 [     121.75      706.25]
 [     141.52      706.25]
 [     142.94      704.84]
 [     162.71      704.84]
 [     164.12      706.25]
 [     200.85      706.25]
 [     202.26      707.66]
 [     203.68      706.25]
 [     222.04      706.25]
 [     223.45      707.66]
 [     257.35      707.66]
 [     258.76      709.08]
 [     258.76      713.31]
 [     267.24      713.31]
 [     267.24      709.08]
 [     270.06      706.25]
 [     275.71      706.25]
 [     275.71      573.47]]
