Image_Name: fff6308908db2103c047d5114a0ae84c
Class: Shoe
Inner Main Points: [(237.54698324227692, 866.9304873533911), (235.83087930111648, 870.3556614739857), (237.02269890873487, 876.3288222252617), (236.95907937682617, 864.1742767314769), (235.54859482521832, 865.6678385400727)]
Mask Points:
[[     257.35      827.72]
 [     257.35      833.38]
 [     258.76      834.79]
 [     258.76      843.26]
 [     257.35      844.67]
 [      251.7      844.67]
 [     250.29      843.26]
 [     248.88      843.26]
 [     246.05      840.44]
 [     244.64      840.44]
 [     243.22      839.03]
 [     241.81      839.03]
 [      240.4      837.61]
 [     223.45      837.61]
 [     222.04      839.03]
 [     219.21      839.03]
 [      217.8      840.44]
 [     216.39      840.44]
 [     214.97      841.85]
 [     210.74      841.85]
 [     209.32      843.26]
 [     203.68      843.26]
 [     203.68      894.11]
 [     247.46      894.11]
 [     247.46      889.88]
 [     248.88      888.46]
 [     250.29      888.46]
 [      251.7      887.05]
 [     254.52      887.05]
 [     255.94      885.64]
 [     258.76      885.64]
 [     260.17      884.22]
 [        263      884.22]
 [     267.24      879.99]
 [     268.65      879.99]
 [     271.48      877.16]
 [     275.71      877.16]
 [     275.71      843.26]
 [     271.48      843.26]
 [     268.65      840.44]
 [     268.65      839.03]
 [     267.24      837.61]
 [     267.24       836.2]
 [     265.82      834.79]
 [     265.82      833.38]
 [     264.41      831.96]
 [     264.41      827.72]]
