Image_Name: Family_YO
Class: Lower_clothes
Inner Main Points: [(335, 694)]
Mask Points:
[[     243.94      632.49]
 [     243.94      719.23]
 [     247.95      719.23]
 [     249.28      720.56]
 [     249.28      723.23]
 [     250.62      724.57]
 [     250.62      731.24]
 [     251.95      732.57]
 [     251.95      737.91]
 [     253.28      739.24]
 [     253.28      744.58]
 [     254.62      745.92]
 [     254.62      755.26]
 [     255.95      756.59]
 [     255.95      763.26]
 [     257.29       764.6]
 [     257.29      769.93]
 [     258.62      771.27]
 [     258.62       772.6]
 [     259.96      773.94]
 [     259.96      775.27]
 [     261.29      775.27]
 [     262.62      776.61]
 [      269.3      776.61]
 [     270.63      777.94]
 [     281.31      777.94]
 [     282.64      779.28]
 [     317.33      779.28]
 [     318.67      777.94]
 [     328.01      777.94]
 [     329.34      776.61]
 [     330.68      776.61]
 [     330.68      775.27]
 [     332.01      773.94]
 [     332.01       772.6]
 [     333.35      771.27]
 [     333.35      767.27]
 [     334.68      765.93]
 [     334.68      761.93]
 [     336.02      760.59]
 [     336.02      756.59]
 [     337.35      755.26]
 [     337.35      748.58]
 [     338.68      747.25]
 [     338.68      741.91]
 [     340.02      740.58]
 [     340.02      737.91]
 [     341.35      736.58]
 [     341.35      732.57]
 [     342.69      731.24]
 [     342.69      723.23]
 [     344.02       721.9]
 [     344.02      711.22]
 [     345.36      709.89]
 [     345.36      700.55]
 [     346.69      699.21]
 [     346.69      695.21]
 [     348.03      693.88]
 [     348.03      689.87]
 [     349.36      688.54]
 [     349.36       687.2]
 [     350.69      685.87]
 [     352.03      685.87]
 [     353.36      684.53]
 [     365.37      684.53]
 [     366.71      685.87]
 [     365.37       687.2]
 [     360.03       687.2]
 [      358.7      688.54]
 [      358.7      689.87]
 [     357.37      691.21]
 [     357.37      696.54]
 [     361.37      700.55]
 [     361.37      709.89]
 [     360.03      711.22]
 [     360.03      717.89]
 [      358.7      719.23]
 [      358.7      723.23]
 [     357.37      724.57]
 [     357.37      728.57]
 [      354.7      731.24]
 [      354.7      733.91]
 [     353.36      735.24]
 [     353.36      739.24]
 [     352.03      740.58]
 [     352.03      749.92]
 [     353.36      751.25]
 [     353.36      757.92]
 [      354.7      759.26]
 [      354.7      761.93]
 [     357.37       764.6]
 [      405.4       764.6]
 [     406.74      763.26]
 [     418.75      763.26]
 [     420.08      761.93]
 [     421.42      761.93]
 [     422.75      760.59]
 [     424.08      760.59]
 [     425.42      759.26]
 [     425.42      756.59]
 [     426.75      755.26]
 [     426.75      752.59]
 [     428.09      751.25]
 [     428.09      740.58]
 [     429.42      739.24]
 [     429.42      731.24]
 [     430.76       729.9]
 [     434.76       729.9]
 [     434.76      645.84]
 [     430.76      645.84]
 [     428.09      643.17]
 [     428.09      641.83]
 [     426.75       640.5]
 [     421.42       640.5]
 [     420.08      639.17]
 [     418.75       640.5]
 [     409.41       640.5]
 [     408.07      641.83]
 [     396.06      641.83]
 [     394.73      643.17]
 [     345.36      643.17]
 [     344.02      641.83]
 [     328.01      641.83]
 [     326.68       640.5]
 [     314.67       640.5]
 [     313.33      639.17]
 [     302.66      639.17]
 [     301.32      637.83]
 [     298.65      637.83]
 [     297.32       636.5]
 [     297.32      632.49]]
