Image_Name: 1723641957671
Class: Leg
Inner Main Points: [(270.5047238867323, 878.0191085157063), (269.8831260839733, 875.8598389044646), (216.6290565977509, 858.470907488011), (160.59210577234492, 857.1821421217513), (184.89716555072903, 877.9196324151546)]
Mask Points:
[[      142.3      839.83]
 [      142.3      899.61]
 [     149.41      899.61]
 [     150.84      901.04]
 [     162.22      901.04]
 [     163.65      902.46]
 [     163.65      906.73]
 [     216.32      906.73]
 [     216.32      902.46]
 [     217.74      901.04]
 [     224.86      901.04]
 [     226.28      899.61]
 [     264.71      899.61]
 [     266.14      901.04]
 [     268.98      901.04]
 [     270.41      899.61]
 [     280.37      899.61]
 [     281.79      898.19]
 [     283.22      898.19]
 [     286.06      895.34]
 [     286.06      871.14]
 [     287.49      869.72]
 [     287.49      858.33]
 [     288.91      856.91]
 [     288.91      848.37]
 [     290.33      846.95]
 [      294.6      846.95]
 [      294.6      839.83]]
