Image_Name: 1723642144494
Class: Eye
Inner Main Points: [(221.70865958098392, 199.01153544532022), (223.65604450367056, 202.0942447007373), (222.74329650590101, 202.2499330245496), (221.56317041342652, 200.89531455818113), (223.8718288522847, 199.1173653860275)]
Mask Points:
[[        206       182.7]
 [        206      213.15]
 [     210.35      213.15]
 [      211.8       214.6]
 [     213.25       214.6]
 [     216.15       217.5]
 [      217.6       217.5]
 [     219.05      218.95]
 [      220.5      218.95]
 [     221.95       220.4]
 [      226.3       220.4]
 [     227.75      218.95]
 [      229.2      218.95]
 [     230.65       217.5]
 [      232.1       217.5]
 [        235       214.6]
 [        235      213.15]
 [      237.9      210.25]
 [      237.9      207.35]
 [     239.35       205.9]
 [     239.35      195.75]
 [      240.8       194.3]
 [     245.15       194.3]
 [     245.15       182.7]]
