Image_Name: 1723642144494
Class: Hair
Inner Main Points: [(171.33109126043922, 50.471950254434375), (255.19235396137003, 103.27202069718238), (237.62147167725902, 75.3114922944004), (101.58243039826613, 77.17960792517995), (301.40991547075606, 161.78884567905075)]
Mask Points:
[[      168.3         2.9]
 [      168.3        14.5]
 [     166.85       15.95]
 [     166.85        20.3]
 [     161.05        26.1]
 [      159.6        26.1]
 [      156.7          29]
 [     155.25          29]
 [      153.8       30.45]
 [     149.45       30.45]
 [        148        31.9]
 [      142.2        31.9]
 [      136.4        37.7]
 [     134.95        37.7]
 [     132.05        40.6]
 [      130.6        40.6]
 [     129.15       42.05]
 [      127.7       42.05]
 [     126.25        43.5]
 [      124.8        43.5]
 [      121.9        46.4]
 [     120.45        46.4]
 [        119       47.85]
 [     117.55       47.85]
 [      116.1        49.3]
 [      113.2        49.3]
 [     108.85       53.65]
 [      107.4       53.65]
 [     105.95        55.1]
 [     103.05        55.1]
 [       98.7       59.45]
 [       95.8       59.45]
 [      94.35        60.9]
 [         90        60.9]
 [      88.55       62.35]
 [       87.1       62.35]
 [       84.2       65.25]
 [      79.85       65.25]
 [       78.4        66.7]
 [       69.7        66.7]
 [       66.8        69.6]
 [       66.8       76.85]
 [      68.25        78.3]
 [      68.25        81.2]
 [       69.7       82.65]
 [       69.7        89.9]
 [      68.25       91.35]
 [      68.25        92.8]
 [       66.8       94.25]
 [       66.8       97.15]
 [         61      102.95]
 [         61       104.4]
 [       55.2       110.2]
 [       55.2      111.65]
 [      53.75       113.1]
 [       52.3       113.1]
 [       49.4         116]
 [       43.6         116]
 [       43.6       133.4]
 [       49.4       133.4]
 [      53.75      137.75]
 [      53.75      146.45]
 [       52.3       147.9]
 [       52.3      149.35]
 [      50.85       150.8]
 [      50.85      152.25]
 [      47.95      155.15]
 [       43.6      155.15]
 [       43.6       171.1]
 [       58.1       171.1]
 [      59.55      172.55]
 [      65.35      172.55]
 [       66.8         174]
 [      68.25      172.55]
 [      76.95      172.55]
 [      82.75      166.75]
 [      82.75      163.85]
 [      85.65      160.95]
 [      85.65       159.5]
 [      88.55       156.6]
 [      88.55      155.15]
 [      94.35      149.35]
 [       95.8      149.35]
 [      97.25       147.9]
 [       98.7       147.9]
 [     100.15      146.45]
 [      101.6      146.45]
 [      101.6         145]
 [     105.95      140.65]
 [     105.95      137.75]
 [      107.4       136.3]
 [      107.4      134.85]
 [     108.85       133.4]
 [     108.85      131.95]
 [      110.3       130.5]
 [      110.3      129.05]
 [     111.75       127.6]
 [     111.75       124.7]
 [      113.2      123.25]
 [      113.2       118.9]
 [     114.65      117.45]
 [     114.65      114.55]
 [      116.1       113.1]
 [      116.1      111.65]
 [     117.55       110.2]
 [     117.55      108.75]
 [        119       107.3]
 [        119      105.85]
 [     123.35       101.5]
 [     123.35      100.05]
 [      133.5        89.9]
 [     134.95        89.9]
 [     140.75        84.1]
 [      142.2        84.1]
 [     143.65       82.65]
 [      145.1       82.65]
 [     146.55        81.2]
 [        148        81.2]
 [     149.45       79.75]
 [     155.25       79.75]
 [      156.7        78.3]
 [      159.6        78.3]
 [      162.5        81.2]
 [     163.95        81.2]
 [     175.55        92.8]
 [     175.55       94.25]
 [      182.8       101.5]
 [     184.25       101.5]
 [      188.6      105.85]
 [     190.05      105.85]
 [      191.5       107.3]
 [     192.95       107.3]
 [      194.4      108.75]
 [      197.3      108.75]
 [     198.75       110.2]
 [      200.2       110.2]
 [     201.65      108.75]
 [      203.1      108.75]
