Image_Name: IMG_00003
Class: Clothes
Inner Main Points: [(113.7896595194729, 702.8807804274022), (349.03882729899567, 858.0985866676531), (424.24026788063236, 740.8324996837422), (387.12683867219755, 887.3402964056049), (306.5800900851835, 733.556117743086)]
Mask Points:
[[      42.75      489.25]
 [      42.75      961.88]
 [      52.25      961.88]
 [     54.625      964.25]
 [      61.75      964.25]
 [       66.5       959.5]
 [     68.875       959.5]
 [      71.25      957.12]
 [      80.75      957.12]
 [     83.125      954.75]
 [     87.875      954.75]
 [      90.25      952.38]
 [     92.625      954.75]
 [     116.38      954.75]
 [     118.75      957.12]
 [     137.75      957.12]
 [     140.12       959.5]
 [      161.5       959.5]
 [     163.88      961.88]
 [        190      961.88]
 [     192.38       959.5]
 [     232.75       959.5]
 [     235.12      957.12]
 [     258.88      957.12]
 [     261.25      954.75]
 [     318.25      954.75]
 [     320.62      957.12]
 [     365.75      957.12]
 [     368.12       959.5]
 [        380       959.5]
 [     382.38      961.88]
 [     387.12      961.88]
 [      389.5      964.25]
 [     391.88      964.25]
 [     394.25      966.62]
 [     401.38      966.62]
 [     403.75         969]
 [     441.75         969]
 [     444.12      971.38]
 [     448.88      971.38]
 [     451.25      973.75]
 [     451.25      980.88]
 [      522.5      980.88]
 [      522.5      973.75]
 [     524.88      971.38]
 [     524.88         969]
 [     527.25      966.62]
 [     527.25       940.5]
 [     524.88      938.12]
 [     524.88      833.62]
 [     527.25      831.25]
 [     527.25      821.75]
 [     529.62      819.38]
 [     529.62      812.25]
 [        532      809.88]
 [        532      805.12]
 [     534.38      802.75]
 [     534.38      795.62]
 [     536.75      793.25]
 [     536.75      783.75]
 [     539.12      781.38]
 [     539.12      738.62]
 [      541.5      736.25]
 [      541.5      719.62]
 [     543.88      717.25]
 [     543.88       712.5]
 [     546.25      710.12]
 [     553.38      710.12]
 [     553.38      489.25]]
