Image_Name: IMG_00006
Class: Hair
Inner Main Points: [(358.0190358782313, 71.00883198308635), (208.45730618434771, 64.0448835736225), (252.3346241513804, 48.52061341672763), (350.73375425725436, 59.79803465890277), (418.07492790616527, 83.3564870639957)]
Mask Points:
[[      218.5        4.75]
 [      218.5      11.875]
 [        209      21.375]
 [     206.62      21.375]
 [     201.88      26.125]
 [      199.5      26.125]
 [     197.12        28.5]
 [     194.75        28.5]
 [     192.38      30.875]
 [        190      30.875]
 [     187.62       33.25]
 [     185.25       33.25]
 [      180.5          38]
 [     178.12          38]
 [     175.75      40.375]
 [        171      40.375]
 [     166.25      45.125]
 [     163.88      45.125]
 [     159.12      49.875]
 [     156.75      49.875]
 [        152      54.625]
 [     149.62      54.625]
 [     147.25          57]
 [     144.88          57]
 [      142.5      59.375]
 [     140.12      59.375]
 [     137.75       61.75]
 [     135.38       61.75]
 [        133      64.125]
 [     128.25      64.125]
 [     125.88        66.5]
 [     116.38        66.5]
 [        114      68.875]
 [     111.62      68.875]
 [     111.62      78.375]
 [        114       80.75]
 [        114      87.875]
 [     116.38       90.25]
 [     116.38      102.12]
 [        114       104.5]
 [        114      106.88]
 [     111.62      109.25]
 [     111.62      111.62]
 [      104.5      118.75]
 [      104.5      121.12]
 [     102.12       123.5]
 [     102.12      125.88]
 [      99.75      128.25]
 [      99.75      130.62]
 [     97.375         133]
 [     97.375      135.38]
 [         95      137.75]
 [         95      140.12]
 [     83.125         152]
 [      80.75         152]
 [     78.375      154.38]
 [     73.625      154.38]
 [      71.25      156.75]
 [      61.75      156.75]
 [      61.75      166.25]
 [      71.25      166.25]
 [     78.375      173.38]
 [     78.375      175.75]
 [      80.75      175.75]
 [     83.125      178.12]
 [       85.5      178.12]
 [      90.25      182.88]
 [      90.25       199.5]
 [     87.875      201.88]
 [     87.875         209]
 [       85.5      211.38]
 [       85.5      216.12]
 [      80.75      220.88]
 [      80.75      223.25]
 [     78.375      225.62]
 [     78.375         228]
 [     73.625      232.75]
 [     73.625      235.12]
 [      71.25       237.5]
 [      61.75       237.5]
 [      61.75      242.25]
 [     73.625      242.25]
 [         76      244.62]
 [     83.125      244.62]
 [       85.5         247]
 [     87.875         247]
 [     92.625      251.75]
 [     92.625       256.5]
 [         95      258.88]
 [         95       275.5]
 [     92.625      277.88]
 [     92.625      280.25]
 [      99.75      287.38]
 [     102.12      287.38]
 [     106.88      292.12]
 [     109.25      292.12]
 [     116.38      299.25]
 [     116.38         304]
 [     118.75      306.38]
 [     118.75      315.88]
 [     149.62      315.88]
 [     149.62      301.62]
 [     147.25      299.25]
 [     147.25         285]
 [     149.62      282.62]
 [     149.62      277.88]
 [     154.38      273.12]
 [     154.38      270.75]
 [      161.5      263.62]
 [      161.5      261.25]
 [     163.88      258.88]
 [     166.25      258.88]
 [     168.62       256.5]
 [        171       256.5]
 [     173.38      254.12]
 [     175.75      254.12]
 [     178.12      251.75]
 [      180.5      251.75]
 [     182.88      249.38]
 [      199.5      249.38]
 [     201.88      251.75]
 [        209      251.75]
 [     211.38      254.12]
 [      218.5      254.12]
 [     220.88      251.75]
 [     230.38      251.75]
 [      237.5      244.62]
 [      237.5      242.25]
 [     239.88      239.88]
 [     239.88       237.5]
 [     242.25      235.12]
 [     242.25         228]
 [     239.88      225.62]
 [     239.88      220.88]
 [      237.5       218.5]
 [      237.5      216.12]
 [     235.12      213.75]
 [     235.12         209]
 [      237.5      206.62]
 [      237.5       199.5]
 [     235.12      197.12]
 [     235.12      187.62]
 [     232.75      185.25]
 [        228      185.25]
 [      218.5      194.75]
 [     206.62      194.75]
 [     204.25      192.38]
 [     185.25      192.38]
 [     182.88         190]
 [     173.38         190]
 [     168.62      185.25]
 [     168.62      182.88]
 [     166.25       180.5]
 [     166.25      173.38]
 [     168.62         171]
 [     168.62      166.25]
 [        171      163.88]
 [        171       161.5]
 [     173.38      159.12]
 [     173.38      156.75]
 [     175.75      154.38]
 [     175.75         152]
 [     178.12      149.62]
 [     178.12      147.25]
 [      180.5      144.88]
 [      180.5       142.5]
 [     185.25      137.75]
 [     185.25      135.38]
 [      199.5      121.12]
 [      199.5      118.75]
 [     204.25         114]
 [     206.62         114]
 [     216.12       104.5]
 [      218.5       104.5]
 [     223.25       99.75]
 [     225.62       99.75]
 [     230.38          95]
 [     232.75          95]
 [     235.12      92.625]
 [      237.5      92.625]
 [     239.88       90.25]
 [     244.62       90.25]
 [        247      87.875]
 [     254.12      87.875]
 [     258.88      92.625]
 [     261.25      92.625]
 [     263.62          95]
 [     263.62      97.375]
 [     268.38      102.12]
 [     268.38       104.5]
 [     282.62      118.75]
 [     282.62      121.12]
 [        285      121.12]
 [      294.5      130.62]
 [     299.25      130.62]
 [     301.62         133]
 [     308.75         133]
 [     308.75      130.62]
 [     311.12      128.25]
 [     311.12      125.88]
 [      313.5       123.5]
 [      313.5      118.75]
 [        323      109.25]
 [     327.75      109.25]
 [     330.12      111.62]
 [     334.88      111.62]
 [     337.25         114]
 [        342         114]
 [     344.38      116.38]
 [     346.75      116.38]
 [      351.5      121.12]
 [     356.25      121.12]
 [     358.62       123.5]
 [        361       123.5]
 [     363.38      125.88]
 [     365.75      125.88]
 [      370.5      130.62]
 [     372.88      130.62]
 [        380      137.75]
 [        380      140.12]
 [     382.38       142.5]
 [     382.38      147.25]
 [     384.75      149.62]
 [     384.75      154.38]
 [     387.12      156.75]
 [     387.12       161.5]
 [      389.5      163.88]
 [      389.5      166.25]
 [     391.88      168.62]
 [     391.88         171]
 [     396.62      175.75]
 [     406.12      175.75]
 [      408.5      178.12]
 [     410.88      178.12]
 [     420.38      187.62]
 [     420.38         190]
 [      427.5      197.12]
 [      427.5       199.5]
 [     432.25      204.25]
 [     432.25         209]
 [     434.62      211.38]
 [     434.62      213.75]
 [        437      216.12]
 [        437      220.88]
 [     439.38      223.25]
 [     439.38      225.62]
 [     448.88      235.12]
 [     448.88       237.5]
 [     451.25      239.88]
 [     453.62      239.88]
 [        456      242.25]
 [        456         247]
 [     458.38      249.38]
 [     460.75      249.38]
 [     463.12      251.75]
 [      465.5      251.75]
 [     467.88      254.12]
 [     477.38      254.12]
 [     479.75      251.75]
 [     498.75      251.75]
 [     498.75         247]
 [     496.38      244.62]
 [     496.38      242.25]
 [     489.25      235.12]
 [     489.25      230.38]
 [     491.62         228]
 [     491.62      225.62]
 [        494      223.25]
 [        494      220.88]
 [      503.5      211.38]
 [      503.5      206.62]
 [     505.88      204.25]
 [     505.88      197.12]
 [      503.5      194.75]
 [      503.5      192.38]
 [     501.12         190]
 [     498.75         190]
 [     491.62      182.88]
 [     491.62       180.5]
 [     489.25      178.12]
 [     489.25         171]
 [     486.88      168.62]
 [     486.88      156.75]
 [      484.5      154.38]
 [      484.5       142.5]
 [     482.12      140.12]
 [     482.12      135.38]
 [     479.75         133]
 [     479.75      128.25]
 [     477.38      125.88]
 [     477.38       123.5]
 [        475      121.12]
 [        475      118.75]
 [     472.62      116.38]
 [     472.62      111.62]
 [     470.25      109.25]
 [     470.25       99.75]
 [     472.62      97.375]
 [     472.62          95]
 [     479.75      87.875]
 [     479.75        85.5]
 [     482.12      83.125]
 [     482.12      78.375]
 [     477.38      73.625]
 [        475      73.625]
 [     472.62       71.25]
 [     470.25       71.25]
 [     467.88      68.875]
 [     463.12      68.875]
 [     460.75        66.5]
 [        456        66.5]
 [     453.62      64.125]
 [     448.88      64.125]
 [     444.12      59.375]
 [     441.75      59.375]
 [     439.38          57]
 [        437          57]
 [     429.88      49.875]
 [      427.5      49.875]
 [     422.75      45.125]
 [     420.38      45.125]
 [     415.62      40.375]
 [     413.25      40.375]
 [      408.5      35.625]
 [     406.12      35.625]
 [     394.25       23.75]
 [     394.25          19]
 [        399       14.25]
 [        399        4.75]]
