Image_Name: _a_18,100 copy
Class: Ear
Inner Main Points: [(1042.4957830674407, 287.86426355699734), (1076.3912029653322, 274.8184620154184), (1066.1097260521224, 281.24117389417063), (1058.5777647537507, 276.32821060807066), (1045.6324292334798, 287.0622286102629)]
Mask Points:
[[       1026         246]
 [       1026         300]
 [       1041         300]
 [       1047         306]
 [       1047         315]
 [       1050         315]
 [       1050         306]
 [       1053         303]
 [       1056         303]
 [       1059         300]
 [       1062         300]
 [       1065         297]
 [       1068         297]
 [       1071         294]
 [       1074         294]
 [       1086         282]
 [       1095         282]
 [       1095         246]]
