Image_Name: _a_18,100 copy
Class: Face
Inner Main Points: [(973.7659365039422, 278.46113513895114), (894.5115961875932, 283.9975333218744), (968.126314868967, 288.87912043712083), (995.1199992759689, 160.56931127036896), (976.7949030599656, 193.98983257128128)]
Mask Points:
[[        918          90]
 [        918          99]
 [        912         105]
 [        909         105]
 [        894         120]
 [        894         123]
 [        885         132]
 [        885         135]
 [        882         138]
 [        882         141]
 [        876         147]
 [        876         153]
 [        873         156]
 [        873         162]
 [        870         165]
 [        870         168]
 [        867         171]
 [        858         171]
 [        858         201]
 [        873         201]
 [        876         198]
 [        888         198]
 [        891         201]
 [        894         201]
 [        897         204]
 [        900         204]
 [        903         207]
 [        903         210]
 [        906         213]
 [        906         225]
 [        903         228]
 [        903         234]
 [        894         243]
 [        888         243]
 [        885         240]
 [        882         240]
 [        876         234]
 [        876         231]
 [        873         228]
 [        873         222]
 [        867         216]
 [        858         216]
 [        858         285]
 [        867         285]
 [        879         297]
 [        879         300]
 [        882         300]
 [        888         306]
 [        891         306]
 [        894         309]
 [        897         309]
 [        900         312]
 [        903         312]
 [        906         315]
 [        909         315]
 [        912         318]
 [        918         318]
 [        921         321]
 [        963         321]
 [        966         318]
 [        987         318]
 [        990         315]
 [        999         315]
 [       1002         312]
 [       1005         312]
 [       1011         306]
 [       1014         306]
 [       1017         303]
 [       1020         303]
 [       1026         297]
 [       1026         294]
 [       1029         291]
 [       1029         285]
 [       1032         282]
 [       1032         258]
 [       1050         240]
 [       1059         240]
 [       1059         201]
 [       1050         201]
 [       1047         198]
 [       1050         195]
 [       1059         195]
 [       1059         183]
 [       1050         183]
 [       1038         171]
 [       1032         171]
 [       1026         177]
 [       1020         171]
 [       1020         138]
 [       1002         120]
 [        999         120]
 [        990         111]
 [        987         111]
 [        987         114]
 [        984         117]
 [        984         123]
 [        981         126]
 [        981         132]
 [        978         135]
 [        975         135]
 [        963         123]
 [        963         120]
 [        960         117]
 [        960         108]
 [        957         105]
 [        957          90]]
