Image_Name: _a_18,100 copy
Class: Hair
Inner Main Points: [(975.9194596715589, 49.06317067832295), (1095.2795223122757, 116.99871350788973), (936.590472892488, 65.0190833455306), (1009.4963138360116, 73.41469812731599), (1087.1278807978138, 154.31242863937075)]
Mask Points:
[[        996           6]
 [        996          15]
 [        993          18]
 [        993          21]
 [        990          24]
 [        990          27]
 [        981          36]
 [        957          36]
 [        954          39]
 [        951          39]
 [        948          42]
 [        945          42]
 [        939          48]
 [        936          48]
 [        933          51]
 [        930          51]
 [        924          57]
 [        921          57]
 [        918          60]
 [        915          60]
 [        912          63]
 [        906          63]
 [        903          66]
 [        900          66]
 [        900          69]
 [        894          75]
 [        894          81]
 [        879          96]
 [        876          96]
 [        873          99]
 [        870          99]
 [        867         102]
 [        867         105]
 [        858         114]
 [        846         114]
 [        846         129]
 [        858         129]
 [        861         132]
 [        861         135]
 [        864         138]
 [        864         150]
 [        858         156]
 [        846         156]
 [        846         168]
 [        858         168]
 [        864         174]
 [        864         183]
 [        858         189]
 [        846         189]
 [        846         195]
 [        867         195]
 [        867         189]
 [        870         186]
 [        870         165]
 [        873         162]
 [        873         150]
 [        879         144]
 [        879         141]
 [        882         138]
 [        882         132]
 [        891         123]
 [        891         120]
 [        909         102]
 [        912         102]
 [        921          93]
 [        924          93]
 [        927          90]
 [        945          90]
 [        948          87]
 [        951          87]
 [        960          96]
 [        960         102]
 [        963         105]
 [        963         117]
 [        966         120]
 [        966         123]
 [        969         126]
 [        972         126]
 [        975         129]
 [        975         132]
 [        978         132]
 [        978         123]
 [        981         120]
 [        981         117]
 [        987         111]
 [        990         111]
 [        996         117]
 [        999         117]
 [       1005         123]
 [       1008         123]
 [       1023         138]
 [       1023         177]
 [       1026         177]
 [       1029         174]
 [       1032         174]
 [       1035         171]
 [       1038         171]
 [       1041         174]
 [       1044         174]
 [       1050         180]
 [       1050         183]
 [       1053         186]
 [       1053         195]
 [       1050         198]
 [       1053         201]
 [       1053         207]
 [       1056         210]
 [       1056         222]
 [       1059         225]
 [       1059         231]
 [       1074         231]
 [       1083         240]
 [       1089         240]
 [       1098         231]
 [       1098         228]
 [       1101         225]
 [       1104         225]
 [       1107         222]
 [       1116         222]
 [       1119         219]
 [       1122         219]
 [       1134         207]
 [       1143         207]
 [       1143         186]
 [       1134         186]
 [       1131         183]
 [       1128         183]
 [       1125         180]
 [       1122         180]
 [       1116         174]
 [       1116         156]
 [       1119         153]
 [       1119         147]
 [       1116         144]
 [       1116         141]
 [       1113         138]
 [       1113         135]
 [       1104         126]
 [       1104         123]
 [       1113         114]
 [       1116         114]
 [       1116         111]
 [       1110         105]
 [       1107         105]
 [       1104         102]
 [       1101         102]
 [       1098          99]
 [       1095          99]
 [       1089          93]
 [       1089          90]
 [       1083          84]
 [       1083          81]
 [       1077          75]
 [       1074          75]
 [       1071          72]
 [       1068          72]
 [       1059          63]
 [       1059          51]
 [       1056          51]
 [       1050          45]
 [       1044          45]
 [       1041          42]
 [       1032          42]
 [       1029          39]
 [       1026          39]
 [       1023          36]
 [       1023          33]
 [       1020          30]
 [       1020          27]
 [       1017          24]
 [       1017          18]
 [       1014          15]
 [       1014           6]]
