Image_Name: _a_7,100 copy
Class: Upper_clothes
Inner Main Points: [(928.1915623928345, 479.51595378758896), (1018.4296782237923, 442.1855532845665), (1054.848223185063, 464.7524288836246), (1005.2294431732033, 581.179478945357), (886.5928033831302, 593.4631966097232)]
Mask Points:
[[        966         357]
 [        966         363]
 [        960         369]
 [        957         369]
 [        951         375]
 [        945         375]
 [        942         378]
 [        927         378]
 [        921         372]
 [        918         372]
 [        912         366]
 [        909         366]
 [        906         363]
 [        897         363]
 [        894         360]
 [        882         360]
 [        879         363]
 [        873         363]
 [        870         366]
 [        867         366]
 [        858         375]
 [        858         378]
 [        855         381]
 [        855         387]
 [        849         393]
 [        849         396]
 [        846         399]
 [        846         402]
 [        840         408]
 [        840         411]
 [        837         414]
 [        837         417]
 [        834         420]
 [        834         423]
 [        831         426]
 [        831         429]
 [        828         432]
 [        828         435]
 [        825         438]
 [        825         441]
 [        822         444]
 [        822         447]
 [        819         450]
 [        819         453]
 [        816         456]
 [        816         459]
 [        813         462]
 [        813         465]
 [        810         468]
 [        810         471]
 [        807         474]
 [        807         480]
 [        804         483]
 [        804         486]
 [        801         489]
 [        801         495]
 [        798         498]
 [        798         507]
 [        795         510]
 [        795         516]
 [        792         519]
 [        792         522]
 [        789         525]
 [        789         531]
 [        783         537]
 [        774         537]
 [        774         660]
 [        783         660]
 [        786         663]
 [        789         663]
 [        792         666]
 [        792         669]
 [        801         678]
 [        804         678]
 [        807         681]
 [        810         681]
 [        813         678]
 [        819         678]
 [        822         675]
 [        831         675]
 [        834         672]
 [        837         672]
 [        843         666]
 [        849         666]
 [        852         663]
 [        894         663]
 [        897         666]
 [       1011         666]
 [       1014         669]
 [       1020         669]
 [       1023         672]
 [       1026         672]
 [       1029         675]
 [       1032         675]
 [       1038         681]
 [       1074         681]
 [       1092         663]
 [       1092         660]
 [       1098         654]
 [       1098         648]
 [       1101         645]
 [       1101         642]
 [       1104         639]
 [       1104         633]
 [       1107         630]
 [       1107         624]
 [       1110         621]
 [       1119         621]
 [       1119         579]
 [       1110         579]
 [       1107         576]
 [       1107         564]
 [       1104         561]
 [       1104         546]
 [       1101         543]
 [       1101         534]
 [       1098         531]
 [       1098         522]
 [       1095         519]
 [       1095         510]
 [       1092         507]
 [       1092         501]
 [       1089         498]
 [       1089         489]
 [       1086         486]
 [       1086         480]
 [       1083         477]
 [       1083         471]
 [       1080         468]
 [       1080         462]
 [       1077         459]
 [       1077         456]
 [       1074         453]
 [       1074         450]
 [       1071         447]
 [       1071         441]
 [       1068         438]
 [       1068         435]
 [       1065         432]
 [       1065         429]
 [       1062         426]
 [       1062         423]
 [       1059         420]
 [       1059         417]
 [       1056         414]
 [       1056         411]
 [       1050         405]
 [       1050         402]
 [       1038         390]
 [       1035         390]
 [       1014         369]
 [       1011         369]
 [       1008         366]
 [       1005         366]
 [       1002         363]
 [        996         363]
 [        993         360]
 [        990         360]
 [        987         357]]
