Image_Name: c904f9fa5f90697aaa2c3260a51037ac
Class: Hair
Inner Main Points: [(115.96346020097725, 284.37084808033353), (299.74768056926575, 107.36626297508454), (429.74376269739344, 188.4247845601775), (241.7480162668087, 96.15213064199656), (423.39096582590264, 174.73089586775444)]
Mask Points:
[[     268.38        4.75]
 [     268.38      26.125]
 [     270.75        28.5]
 [     270.75       33.25]
 [     273.12      35.625]
 [     273.12       42.75]
 [     268.38        47.5]
 [        247        47.5]
 [     244.62      49.875]
 [      237.5      49.875]
 [     235.12       52.25]
 [     232.75       52.25]
 [        228          57]
 [     225.62          57]
 [      218.5      64.125]
 [     216.12      64.125]
 [     213.75        66.5]
 [     211.38        66.5]
 [     206.62       71.25]
 [     204.25       71.25]
 [     201.88      73.625]
 [      199.5      73.625]
 [     197.12          76]
 [     194.75          76]
 [     192.38      78.375]
 [        190      78.375]
 [     187.62       80.75]
 [     185.25       80.75]
 [      180.5        85.5]
 [     178.12        85.5]
 [     173.38       90.25]
 [        171       90.25]
 [     168.62      92.625]
 [     166.25      92.625]
 [     163.88          95]
 [      161.5          95]
 [     159.12      97.375]
 [     156.75      97.375]
 [     154.38       99.75]
 [        152       99.75]
 [     149.62      102.12]
 [     147.25      102.12]
 [     144.88       104.5]
 [      142.5       104.5]
 [     140.12      106.88]
 [     130.62      106.88]
 [     128.25      109.25]
 [     109.25      109.25]
 [     109.25      111.62]
 [     106.88         114]
 [     106.88      118.75]
 [     111.62       123.5]
 [     111.62      125.88]
 [        114      128.25]
 [        114      130.62]
 [     118.75      135.38]
 [     118.75      147.25]
 [     116.38      149.62]
 [     116.38         152]
 [     109.25      159.12]
 [     109.25       161.5]
 [     106.88      163.88]
 [     106.88      166.25]
 [     97.375      175.75]
 [     97.375      178.12]
 [     87.875      187.62]
 [     87.875         190]
 [       85.5      192.38]
 [     83.125      192.38]
 [      80.75      194.75]
 [      71.25      194.75]
 [      71.25      213.75]
 [       85.5      213.75]
 [     87.875      216.12]
 [      90.25      216.12]
 [         95      220.88]
 [         95      232.75]
 [     92.625      235.12]
 [     92.625      239.88]
 [      90.25      242.25]
 [      90.25      249.38]
 [     87.875      251.75]
 [     87.875      254.12]
 [     83.125      258.88]
 [     83.125      261.25]
 [      80.75      263.62]
 [      71.25      263.62]
 [      71.25      280.25]
 [     87.875      280.25]
 [      90.25      282.62]
 [      99.75      282.62]
 [      104.5      287.38]
 [      104.5      308.75]
 [     102.12      311.12]
 [     102.12      320.62]
 [      99.75         323]
 [      99.75      334.88]
 [     118.75      334.88]
 [     121.12      337.25]
 [      123.5      337.25]
 [     125.88      339.62]
 [     128.25      339.62]
 [     130.62      337.25]
 [     135.38      337.25]
 [     135.38      261.25]
 [     137.75      258.88]
 [     137.75       237.5]
 [     140.12      235.12]
 [     140.12         228]
 [      142.5      225.62]
 [      142.5      220.88]
 [     144.88       218.5]
 [     144.88      216.12]
 [     147.25      213.75]
 [     149.62      213.75]
 [        152      211.38]
 [     156.75      211.38]
 [     159.12      213.75]
 [     159.12      216.12]
 [      161.5       218.5]
 [      161.5      220.88]
 [     163.88      223.25]
 [     163.88         228]
 [     166.25         228]
 [        171      223.25]
 [        171      220.88]
 [     173.38       218.5]
 [     173.38      206.62]
 [     175.75      204.25]
 [     175.75      197.12]
 [     178.12      194.75]
 [     178.12         190]
 [      180.5      187.62]
 [      180.5      185.25]
 [     182.88      182.88]
 [     182.88       180.5]
 [     185.25      178.12]
 [     185.25      173.38]
 [        190      168.62]
 [        190      166.25]
 [     192.38      163.88]
 [     192.38       161.5]
 [     194.75      159.12]
 [     194.75      156.75]
 [     211.38      140.12]
 [     213.75      140.12]
 [     216.12      137.75]
 [      218.5      137.75]
 [     223.25         133]
 [     225.62         133]
 [        228      130.62]
 [     230.38      130.62]
 [     232.75      128.25]
 [     235.12      128.25]
 [      237.5      125.88]
 [     244.62      125.88]
 [        247       123.5]
 [     254.12       123.5]
 [      256.5      121.12]
 [     261.25      121.12]
 [     270.75      130.62]
 [     270.75         133]
 [     273.12      135.38]
 [     273.12      137.75]
 [     277.88       142.5]
 [     277.88      144.88]
 [     282.62      149.62]
 [     282.62         152]
 [     289.75      159.12]
 [     289.75       161.5]
 [      294.5      166.25]
 [     296.88      166.25]
 [     306.38      175.75]
 [     308.75      175.75]
 [     311.12      178.12]
 [      313.5      178.12]
 [     315.88       180.5]
 [     315.88      182.88]
 [     318.25      182.88]
 [     318.25      168.62]
 [     315.88      166.25]
 [     315.88      144.88]
 [     318.25       142.5]
 [     327.75       142.5]
 [      332.5      147.25]
 [     334.88      147.25]
 [     339.62         152]
 [        342         152]
 [     346.75      156.75]
 [     349.12      156.75]
 [      351.5      159.12]
 [     356.25      159.12]
 [     358.62       161.5]
 [        361       161.5]
 [     363.38      163.88]
 [     365.75      163.88]
 [     375.25      173.38]
 [     375.25      178.12]
 [     377.62       180.5]
 [     377.62      187.62]
 [        380         190]
 [        380       199.5]
 [     382.38      201.88]
 [     382.38       237.5]
 [     384.75       237.5]
 [     387.12      235.12]
 [      389.5      235.12]
 [     391.88      232.75]
 [        399      232.75]
 [     401.38      230.38]
 [     410.88      239.88]
 [     410.88      242.25]
 [     413.25      244.62]
 [     413.25         247]
 [     415.62      249.38]
 [     415.62      251.75]
 [        418      254.12]
 [        418      261.25]
 [     420.38      263.62]
 [     420.38       275.5]
 [     422.75      277.88]
 [     422.75      327.75]
 [     425.12      325.38]
 [     432.25      325.38]
 [        437      320.62]
 [     439.38      320.62]
 [     441.75      318.25]
 [      446.5      318.25]
 [     448.88      315.88]
 [     451.25      315.88]
 [     453.62       313.5]
 [        456       313.5]
 [     458.38      311.12]
 [     458.38      308.75]
 [     470.25      296.88]
 [     491.62      296.88]
 [     491.62       294.5]
 [        494      292.12]
 [        494         285]
 [     491.62      282.62]
 [     491.62       275.5]
 [     489.25      273.12]
 [     489.25      270.75]
 [     491.62      268.38]
 [     491.62         266]
 [        494      263.62]
 [        494      261.25]
 [     496.38      258.88]
 [     496.38       256.5]
 [     501.12      251.75]
 [     501.12         247]
 [     498.75      244.62]
 [     498.75      242.25]
 [     496.38      242.25]
 [        494      239.88]
 [     491.62      239.88]
 [     489.25       237.5]
 [     486.88       237.5]
 [     482.12      232.75]
 [     482.12      230.38]
 [     479.75         228]
 [     479.75      223.25]
 [     477.38      220.88]
 [     477.38         209]
 [        475      206.62]
 [        475      204.25]
 [     472.62      201.88]
 [     472.62      197.12]
 [     470.25      194.75]
 [     470.25         190]
 [     467.88      187.62]
 [     467.88      182.88]
 [      465.5       180.5]
 [      465.5      178.12]
 [     463.12      175.75]
 [     463.12         171]
 [     460.75      168.62]
 [     460.75      166.25]
 [     458.38      163.88]
 [     458.38       161.5]
 [        456      159.12]
 [        456      154.38]
 [     453.62         152]
 [     453.62      144.88]
 [     460.75      137.75]
 [     463.12      137.75]
 [      465.5      135.38]
 [     467.88      135.38]
 [     470.25         133]
 [     470.25      125.88]
 [      465.5      125.88]
 [     460.75      121.12]
 [     458.38      121.12]
 [        456      118.75]
 [     453.62      118.75]
 [     451.25      116.38]
 [     448.88      116.38]
 [      446.5         114]
 [     444.12         114]
 [     441.75      111.62]
 [     439.38      111.62]
 [     434.62      106.88]
 [     432.25      106.88]
 [     422.75      97.375]
 [     420.38      97.375]
 [     415.62      92.625]
 [     413.25      92.625]
 [      408.5      87.875]
 [     406.12      87.875]
 [     403.75        85.5]
 [     401.38        85.5]
 [        399      83.125]
 [     396.62      83.125]
 [     391.88      78.375]
 [      389.5      78.375]
 [     387.12          76]
 [     384.75          76]
 [     382.38      73.625]
 [        380      73.625]
 [     375.25      68.875]
 [     377.62        66.5]
 [     377.62      64.125]
 [        380       61.75]
 [        380          57]
 [     377.62      54.625]
 [     377.62       52.25]
 [     375.25      49.875]
 [     315.88      49.875]
 [      313.5        47.5]
 [     311.12        47.5]
 [     277.88       14.25]
 [     277.88        4.75]]
